Id,Label,name,friendsCount,followersCount
2467929380,StonehamPress,Tim Lewis @Stoneham Press #indieAuthorChat,12112,19643
273826212,hellicanz666,kymac carandang,104,7
1612590000000000000,anxiousresist,The Anxious Resistance,1236,345
1631290000000000000,Jameswi13505388,James william,123,1
1586470000000000000,Charlotte__Art,✶* 🎀 𝒞𝒽𝒶𝓇𝓁♡𝓉𝓉𝑒 🎀 *✶,4254,259
1554870000000000000,DrSusanCalvin_1,Dr Susan Calvin,64,79
1580720000000000000,ReneeLo67738994,Renee Lopez,831,173
1471650000000000000,ConveyGraphics,Lorenzo Rivera,264,92
1300290000000000000,Gulabraut18,Gulabbhai Raut,376,753
2304035530,LukesLewis,LukesLewis,73577,99067
1246500000000000000,occupymars42069,Elonoshi Muskamoto 🐶,420,3984
1609280000000000000,K67693683Make,Naresh Kumar 🇮🇳,209,20
1580180000000000000,AAria26,💫Alice Aria26💙✨✨,3855,333
1136600000000000000,WillyDog99,James Williams,1169,331
1380610000000000000,JonWesselink,Jon Wesselink,403,305
1229170000000000000,complexcreativ2,complexcreatives02,16062,16223
1038520000000000000,UFOchronpodcast,UFO CHRONICLES PODCAST🎙️,38943,50260
210613177,joelatallah,Joel Atallah,4089,1237
1647708608,Bn__mohammed,...,2502,87
1617330000000000000,JRHarrisTech,JR_Harris,1099,226
853442000000000000,sanjaymparihar,Sanjay Parihar | Email Marketer | Copywriter,104,29
1558230000000000000,Legally_Lifted,legally Lifted,2364,2683
1260012025,RichShippy,Rich Shippy,4759,17298
236515608,rchids,Rolland 🇱🇧🇨🇦,7175,6703
1581840000000000000,TanimBay,Decent Hope by Tanim,3891,1398
1545660000000000000,WriterSure,WriterSure | Freelance Writer 👨‍💼,4606,434
1388640000000000000,pythadoge,Pytha’s Memes 🧩,9967,15593
1592000000000000000,MendyOrcs,Mendy ORCS,293,46
1490760000000000000,TheStoicPadawan,Benny - The Stoic Padawan,1915,1738
14164297,MadalynSklar,Madalyn Sklar  Digital Marketing since 1996,54166,105868
100277835,ValuedMerchants,Chris Del Grande,52929,94823
1155460000000000000,MisraGirishwar,Prof. Girishwar Misra,88,382
73050109,LukeARenner,Luke A. Renner,6640,64288
754891000000000000,TheEraisGone,A Guy has no Name and No face,1324,210
1570430000000000000,jesse_derrien,Jesse Derrien,2010,437
349934973,Moonrican1,Bert Marchand Paonessa,5001,401
1424291652,denocollins,Sr Steel Collins,2728,507
3031148024,vikas_sgh_,Vikas Patel,819,287
1295960000000000000,JethabhaiPanera,Jethabhai Maldebhai Panera 🇮🇳,4341,4474
1481800000000000000,AndersRoy5,Anders Roy,652,43
1514230000000000000,HomoAutossophos,Homo Autossophos,210,52
1063700000000000000,winner62822270,winner,1123,79
436042034,DarilFuentesLea,Caterina Costa,2847,253
3027501062,iamsizzie,SirPablo,327,48
1540670000000000000,bluetiger_con,Bluetiger Consultancy,317,24
854011000000000000,OlieMatshabane,Dr. O,1146,559
1179700000000000000,thecommitment_x,The Commitment,1705,784
1508490000000000000,DeathStarRobot,Death Star Robot 🇺🇸🇺🇦,1161,60
553440081,pholosonare,pholoso nare,320,25
2889557704,Marvin_Himself,Marvin Owusu Ansah,411,308
1309610000000000000,ryangagliardi3,ryan,3869,1700
