profileUrl,screenName,userId,name,imgUrl,backgroundImg,bio,website,location,createdAt,followersCount,friendsCount,tweetsCount,certified,following,followedBy,query,timestamp
https://twitter.com/Kaavya_18,Kaavya_18,1445430724094349312,Kaavya Raja,https://pbs.twimg.com/profile_images/1538478961868431360/YeaCYk4V_normal.jpg,,Creating My Own Sunshine ✨,,,Tue Oct 05 16:49:09 +0000 2021,18,537,37,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:26.772Z
https://twitter.com/Chandan09581095,Chandan09581095,1237223422897221632,Chandan Kumar,https://pbs.twimg.com/profile_images/1530419220399329280/iDyK4zPD_normal.jpg,,Always ready,,India,Tue Mar 10 03:47:20 +0000 2020,14,621,357,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:26.772Z
https://twitter.com/Maheswa56698929,Maheswa56698929,1282049815665205248,Thangus,https://pbs.twimg.com/profile_images/1578043231203627009/IZtHq1-n_normal.jpg,https://pbs.twimg.com/profile_banners/1282049815665205248/1623007329,Dont let your past ruin your future 💙,,,Sat Jul 11 20:31:21 +0000 2020,11,329,755,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:26.772Z
https://twitter.com/krithivasa,krithivasa,127154683,KARTHIK,https://pbs.twimg.com/profile_images/1393634538761310210/tujxyC-8_normal.jpg,,,,,Sun Mar 28 07:05:21 +0000 2010,9,595,470,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:26.772Z
https://twitter.com/Tarunvijay,Tarunvijay,13508182,"Tarun Vijay , former MP",https://pbs.twimg.com/profile_images/1602974478036008960/qU0Mw4Ft_normal.jpg,https://pbs.twimg.com/profile_banners/13508182/1668568713,So live your life that the fear of death can never enter your heart.,,"Dehradun, New Delhi India",Fri Feb 15 08:28:58 +0000 2008,147723,1954,48325,true,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:26.772Z
https://twitter.com/NautiyalArohi,NautiyalArohi,1573071767232401408,Arohi Nautiyal,https://pbs.twimg.com/profile_images/1573072164479127552/wXgntx5O_normal.jpg,,,,,Thu Sep 22 22:10:04 +0000 2022,3,100,0,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/srpramanaa,srpramanaa,3751653220,srpramanaa,https://pbs.twimg.com/profile_images/1302694991328813057/UFw8mbfk_normal.jpg,https://pbs.twimg.com/profile_banners/3751653220/1477129565,,,"Chennai, India",Wed Sep 23 17:37:00 +0000 2015,318,4291,7685,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/sukhmaniherbals,sukhmaniherbals,1632321766356910081,SIMRANJEET Singh,https://pbs.twimg.com/profile_images/1632322055667417088/zzgtNxV2_normal.jpg,,,,,Sun Mar 05 10:07:59 +0000 2023,0,13,0,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/Meghanagowda76,Meghanagowda76,744829510856544256,Meghanagowda,https://pbs.twimg.com/profile_images/744878413903601665/cQvblH2J_normal.jpg,https://pbs.twimg.com/profile_banners/744829510856544256/1466427826,"Digital marketer in bangalore, blogger,freelancer",https://t.co/CqvMzRF3pH,Bangalore,Mon Jun 20 09:49:28 +0000 2016,36,311,7,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/salman3126,salman3126,2754255487,Salman (Mohd Ali Shaikh),https://pbs.twimg.com/profile_images/1559446782760960000/asS_vdlH_normal.jpg,https://pbs.twimg.com/profile_banners/2754255487/1660655857,Founder at @SST_DIGI_Media ll Social Media Campaigner || Entrepreneur by profession ll Influencers Marketing ll #Finance ll Sports🏏 II Salmanish♥️ ll,https://t.co/AFJ2ps8a1E,"Mumbai, India",Fri Aug 22 07:21:39 +0000 2014,12168,4263,74721,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/7411439870,7411439870,1012589113,Krishna kumar (GUDA),https://pbs.twimg.com/profile_images/1580114938366164992/-MBtqPDr_normal.jpg,https://pbs.twimg.com/profile_banners/1012589113/1585436506,om murghan thunai,,"BANGALORE,INDIA",Sat Dec 15 05:38:09 +0000 2012,85,310,76,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/AbhishekMohit7,AbhishekMohit7,1630236110373756929,MA Star service,https://pbs.twimg.com/profile_images/1630236207606124545/BffLGbM__normal.png,https://pbs.twimg.com/profile_banners/1630236110373756929/1677755975,LOGISTICS SERVICE,,"New Delhi, India",Mon Feb 27 15:59:34 +0000 2023,0,3,3,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
https://twitter.com/contentwriteraa,contentwriteraa,1616732871179538432,PANKAJ BIDANI,https://pbs.twimg.com/profile_images/1616732992361361409/qDTB8l_3_normal.png,,Writing has become my passion. I create my topic with experience and publish.,https://t.co/B8YTF2zvmI,New Delhi / INDIA,Sat Jan 21 09:42:37 +0000 2023,1,122,20,false,false,false,https://twitter.com/HimalayaIndia,2023-03-06T01:08:27.546Z
