profileUrl,screenName,userId,name,imgUrl,backgroundImg,bio,website,location,createdAt,followersCount,friendsCount,tweetsCount,certified,following,followedBy,query,timestamp
https://twitter.com/kunalb11,kunalb11,32332988,Kunal Shah,https://pbs.twimg.com/profile_images/1190747917998546944/D3U5FNa7_normal.jpg,,,,,Fri Apr 17 06:34:21 +0000 2009,770664,1319,8475,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/Ashneer_Grover,Ashneer_Grover,1459126464931008520,Ashneer Grover,https://pbs.twimg.com/profile_images/1635702166722838528/RvXEdABq_normal.jpg,https://pbs.twimg.com/profile_banners/1459126464931008520/1641613247,Founder - BharatPe / Third Unicorn | Author - ‘Doglapan’ | Shark - Shark Tank India,,"New Delhi, India",Fri Nov 12 11:52:59 +0000 2021,271756,18,189,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/Nithin0dha,Nithin0dha,1660202983,Nithin Kamath,https://pbs.twimg.com/profile_images/1605244931953807360/nnflPFas_normal.jpg,https://pbs.twimg.com/profile_banners/1660202983/1602348633,"Founder & CEO @Zerodhaonline @Rainmatterin
Learning at @RainmatterOrg
Musings on finance, business, and life: https://t.co/gQi9cu6E5h",https://t.co/tWq0Pjrh9W,Bangalore,Sat Aug 10 13:54:11 +0000 2013,518797,151,2335,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/AnupamMittal,AnupamMittal,22596514,Anupam Mittal,https://pbs.twimg.com/profile_images/1605217033138098176/_18cONQ7_normal.jpg,https://pbs.twimg.com/profile_banners/22596514/1637394869,Founder@People Group https://t.co/CugyPbYnOK | D2C/Tech Investor & Shark | https://t.co/XqMw5unyYy |https://t.co/fPAqablQmT |https://t.co/cfePbXSYxK,https://t.co/fo8lg5WOso,Mumbai,Tue Mar 03 06:57:07 +0000 2009,208999,628,3517,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/bhash,bhash,16489912,Bhavish Aggarwal,https://pbs.twimg.com/profile_images/1133256267340713984/UaxcE0fi_normal.jpg,https://pbs.twimg.com/profile_banners/16489912/1660488136,Building the future at Ola!,https://t.co/2fukVxoHsx,Bengaluru,Sat Sep 27 19:17:13 +0000 2008,426283,503,2693,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/rajshamani,rajshamani,87419705,Raj Shamani,https://pbs.twimg.com/profile_images/1160118992146554880/fj7rjazO_normal.jpg,https://pbs.twimg.com/profile_banners/87419705/1669463120,Bestselling Author🥇Building in stealth: Helping Creators Become Entrepreneurs | Podcast: Figuring Out (India’s #1 Entrepreneurship Podcast) | Keynote Speaker,https://t.co/MaATMWErZm,,Wed Nov 04 11:44:25 +0000 2009,301140,452,15040,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/VaibhavSisinty,VaibhavSisinty,95042637,Vaibhav Sisinty,https://pbs.twimg.com/profile_images/1466482275361562626/jP_Sgq2A_normal.jpg,https://pbs.twimg.com/profile_banners/95042637/1642407621,"Founder, @GrowthSchoolio | Usually rant about startups, education and marketing | Learn from Top 1% (checkout the link below)",https://t.co/RV8WrAIWSr,Growthschool courses 👇,Sun Dec 06 18:03:23 +0000 2009,112820,306,8047,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/gauravmunjal,gauravmunjal,31501423,Gaurav Munjal,https://pbs.twimg.com/profile_images/860811839621533696/_G51Tn3e_normal.jpg,https://pbs.twimg.com/profile_banners/31501423/1619549339,"Founder, Unacademy Group",https://t.co/eFOz4Y9Cpw,,Wed Apr 15 20:00:40 +0000 2009,107323,3958,6770,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/vineetasng,vineetasng,2150865564,Vineeta Singh,https://pbs.twimg.com/profile_images/1473706332104663048/mYM4x-7Q_normal.jpg,https://pbs.twimg.com/profile_banners/2150865564/1573393713,"CEO @trysugar Mom. Running, cycling, swimming person - in that order",https://t.co/j1XVjwV4Nv,Mumbai,Wed Oct 23 12:14:21 +0000 2013,116258,1544,2576,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/amangupta0303,amangupta0303,2314914986,Aman Gupta,https://pbs.twimg.com/profile_images/1480461625727455234/fofDHTWQ_normal.jpg,https://pbs.twimg.com/profile_banners/2314914986/1637753168,Co-Founder and CMO @RockWithboAt ET 40 Under 40 : 2021,,"New Delhi, India",Tue Jan 28 05:25:06 +0000 2014,247813,66,144,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
https://twitter.com/BeingPractical,BeingPractical,8806712,pj,https://pbs.twimg.com/profile_images/1137017981228109824/LUpHjv7X_normal.jpg,https://pbs.twimg.com/profile_banners/8806712/1669635236,product geek. i build & break products. eternal entrepreneur. tea addict. founder @paytmmoney. building @RaiseTheBarHQ 🚀. now customer service at @DhanHQ,https://t.co/zcHNskNmlt,bombay,Tue Sep 11 09:35:45 +0000 2007,101821,561,39533,true,,,https://twitter.com/deepigoyal,2023-03-21T01:09:00.259Z
