date,content,username,likes,views,hashtags,url
2023-02-03,@HimalayaIndia got this watsapp ...is that you? https://t.co/W2CqwktSGb,tweepany,0,28,,https://twitter.com/tweepany/status/1621408607517691904
2023-02-02,@AgraIOC @ioclupso2 @DirMktg_iocl @Shyamal35759390 @AoAgra @IndianOilcl @ChairmanIOCL @IoclAgraIDO  @yogrishiramdev @Ach_Balkrishna  @pyptharidwar @yogrishiramdev @Ach_Balkrishna @Patanjali_foods @PatanjaliDairy @OfficeofSRamdev  @HimalayaMEN @HimalayaIndia @BailKolhuOils https://t.co/syeDD97OF2,kuldeep11y,5,130,,https://twitter.com/kuldeep11y/status/1621169832011104256
2023-02-02,"@AyurvedaMonk @HimalayaIndia Ayurveda me honesty bht jaruri 

Patanjali ko dekh lo",Prakash01266030,0,97,,https://twitter.com/Prakash01266030/status/1621012277611855872
2023-02-02,"@AyurvedaMonk @HimalayaIndia Dabur offer me to sell products and give monthly 5k 
They use us @DaburIndia 
So I decide don't use patent drug n use hand made products 

It lots different nd effective",Prakash01266030,1,104,,https://twitter.com/Prakash01266030/status/1621011976188235776
2023-02-02,@AyurvedaMonk @HimalayaIndia Will wait for it,AherAlok,1,70,,https://twitter.com/AherAlok/status/1621008325642186753
2023-02-02,"@MrAnkit26599 @HimalayaIndia I think “Baidyanath (Jhansi)” products r acceptable.
Other Baidyanath Branches hv reduced their quality.",AyurvedaMonk,0,96,,https://twitter.com/AyurvedaMonk/status/1620999279287627776
2023-02-02,@mytechshout07 @HimalayaIndia No comments sir coz I never got a chance to use their products.,AyurvedaMonk,0,36,,https://twitter.com/AyurvedaMonk/status/1620998711286566913
2023-02-02,@sereneloud @HimalayaIndia Such approach has always been harming Ayurveda sir (&amp; never a win win situation),AyurvedaMonk,1,65,,https://twitter.com/AyurvedaMonk/status/1620998159291011073
2023-02-02,@cyber5knight @HimalayaIndia I never used their products sir.,AyurvedaMonk,0,20,,https://twitter.com/AyurvedaMonk/status/1620997516027387904
2023-02-02,"@AherAlok @HimalayaIndia No comments sir.
Would write a long thread about Patanjali medicines whenever I get time.",AyurvedaMonk,1,49,,https://twitter.com/AyurvedaMonk/status/1620996785501257728
